full_text,Sentiment
"More than 100 policemen are accused in 80 cases in DMP for killing students.

These controversial policemen misled their professionalism and implemented the Awami League's party agenda and brutally tortured BNP and opposition leaders.

 https://t.co/NJ62L52XMd",N
"These officers dumped bodies of protestors on top of each other after firing on a procession. This is disgusting, they should be found. This level of state sponsored violence should never come back to Bangladesh. This is the bloodthirst of awami league and Hasina.",N
"Blood thrusty Hayenas burned dead body after massacred them. Whenever Bangladesh Awami League got a chance, tried to kill democracy. @Yunus_Centre still want to re accommodate them in  #Bangladesh politics in the name of democracy.",N
"@PakinBangladesh This is not good.  We are not here to see sexualized things, like Awami league.",N
@SOJIBSPEAKS ðŸ¥±ðŸ¥±ðŸ¥±Don't worry about us. Your country military refused to listen to it's elected leader. You have burned your policitians of Awami League. We are largest democracy your a pseudo democracy who has let terror organization and criminals from jail out in open.,N
"@ZulkarnainSaer Awami league must be banned. I don't know why people are still saying they won't. They committed a genocide and are literally a threat to Bangladesh's sovereignty. We shouldn't do the same mistake people did back in 76, 81.",N
"Bangladesh Awami League burned the students during the time of protests. What a cruelty! ðŸ˜­
We want justice.
#Bangladesh #BangladeshAwamiLeague",N
"@Maddeye19Sam @joydas1844417 @PREMIUMERZA Indian state can never ever repeat the same as what they did before .
Puppet Awami League and Hasina has fled,we kicked them out .
And this traitor joy das is still crying as he lost a puppet,his faith brothers won't be able to treat Bangladesh as their colonial state anymore",N
"Awami League, its various organizations and associated ideology should be banned entirely like how Nazism is treated in Europe. Best option would be to apply something similar to the Denazification that the Soviet Union did in East Germany following World War 2. @AJEnglish",N
"Awami League leader's body found in Meghalaya handed over to Bangladesh @ETPolitics

https://t.co/fMwxWWVi3y

 Download Economic Times App to stay updated with Business News - https://t.co/XbGUBKlnqC https://t.co/e8s5dpxAHA",N
@rupom Awami League has committed a crime against humanity. They must be banned as a terrorist organization. It's a must @ChiefAdviserGoB,N
@MostafizRa43162 These Awami League terrorists killed many innocent students,N
@ashish_hobo @DhakaTribune This interim govt trying to push the country backward and towards extremism. The focus should be on returning the Awami League to power to ensure continued stability and developement.,N
"@Sayed7705735226 @cyened @muktadirnewage Lol, my whole family and almost everyone in the city are BNP supporters, but still, they don't vote or like Jamaat. My grandfather is still alive and hates Awami League to his core. He told me Jamaat is a war criminal. I think that's enough; I",N
@ZAJoy1 But You (Awami League) burnt whole country when you were in power.,N
"@Sayed7705735226 @cyened @muktadirnewage Jamaat is a war criminal. Ninety percent of people don't like them. Even though the BNP and Awami League are corrupt, people will still vote for them, not for Jamaat. So, everyone in Bangladesh is like Hasina.",N
@revolt_71 @trahmanbnp @bdbnp78 Better not promote bnp. Awami league was bad and bnp is worse.,N
"@RanaAyyub @NitishKumar @ncbn They need to stay in power. BJP, RSS, Awami League all are same . Hate is their agenda . But spreading hate , they gain the power.",N
"Meanwhile the ex #sylhet mayor, (who still thinks he is the mayor) ðŸ˜‚ is claiming the prof. Yunus led government killed 12,000 Awami League members. 
He is another big bad terrible layer from @albd1971 who is in uk now.",N
"Diamond World has evaded 25,200 crore taka in VAT! The VAT intelligence investigation was covered up by top leaders of the Awami League.The fine was suspended following a phone call from a VVIP of the previous government.
#DimondWorld
#Bangladesh https://t.co/teGnaSE7R9",N
@AmirHos89354278 Illegal Properly should be destroyed like this also this Killer Party Awami League should be banned in Bangladesh,N
Meghalaya: Awami League leader's body handed over to Bangladesh https://t.co/lkWNhKCrRI via @YouTube,N
"Awami League is a terrorist party in Bangladesh. They took away people's freedom of speech. They took complete control of administration, media and looted banks and destroyed economy of country. They committed genocide, robbery, disappearance and many more terrorism activity.",N
We have to ban both BNP  and Awami League. https://t.co/3auF3uCtBu,N
Meghalaya: Awami League leader's body handed over to Bangladesh https://t.co/PdzYRNiCk0,N
"This is the true characteristic of Sheikh #Hasina &amp; the Awami League as they pretend to support Palestine but erase its existence from school books while also pretending to promote #Islam the AL has allowed invasion of Brahminical culture &amp; transgenderism

https://t.co/vxEsFNuHe6 https://t.co/cnED5XvcRY",N
India is not among the top 10 development partners of #Bangladesh. Why then does ðŸ‡§ðŸ‡© hold #India in such high regard when we get virtually nothing as a nation from this relationship. The only beneficiaries of this exploitative relationship is the Awami League &amp; Sheikh #Hasina https://t.co/fNFLkOpTKS,N
"@rafayjalil @jacksonhinklle I used to have similar notions about him but the recent chain of events since April 2022,  I revisited the history &amp; found him to be a power hungry &amp; opportunist who colluded with establishment to deprive the largest political party Awami league that had won 168 seats vs 80-PPP.",N
"Awami League joint general secretary and foreign minister Hasan Mahmud on Wednesday said extreme frustration prevails within the BNP as they now realise that boycotting elections was a big mistake.
https://t.co/wkCqAu3cVV",N
@CWhiteleyEU Bangladeshi prime minister Sheikh Hasina's ruling Awami League activists unleashed a violent crackdown on Hindu communities. Hundreds of Hindus were forced to flee while their homes were being set fire by Awami League activists. https://t.co/mI38eKEIRZ,N
@USAmbUN @embassymonrovia Bangladeshi prime minister Sheikh Hasina's ruling Awami League activists unleashed a violent crackdown on Hindu communities. Hundreds of Hindus were forced to flee while their homes were being set fire by Awami League activists. https://t.co/7gT1e6LW88,N
Full of fake and false information in this video. All those incidents happened by Awami League and its dog DB branch in Bangladesh. But now they are spreading disinformation against BNP. General ppl know well. One day AL should admit all these. Wait and see,N
It was in 1971 that the party of Sheikh Mujibur Rahman was being oppressed because it was the popular party in the country at that time and the establishment used to oppress the people of Awami League to win their favorite party and oppressed the leader of the party. He was,N
BNP Senior Joint Secretary General Ruhul Kabir Rizvi on Monday accused India of â€œunwarranted interferenceâ€ in determining the political course of Bangladesh as part of its move to deepen relations with Awami League. https://t.co/t1sujDedOW,N
"@MahbubShaheen6 Harassing a respectable person with false and fabricated cases, this is the character of Awami League.",N
"@bdperspectives @bdbnp78 @trahmanbnp @StateDept Another example of Indian slavery in Awami League, selling out the sovereignty of Bangladesh https://t.co/sbvgnZ16mv",N
"Between 27 October and 10 November 2023 alone, almost 10,000 leaders, activists and general supporters of the BNP were arrested after protests erupted against the ruling Awami League government. 

Sayrat Sattik on incarceration in Bangladesh:
https://t.co/KpT2v4f79j",N
"@MAarafat71 Who they're???
they're ruling party activists! 
 Chatro League? 
Jubo League? 
Awami league?
 The people of Bangladesh know'sAwami League is a terrorist organisations. https://t.co/iZCJbLaH8o",N
"There were other reasons as well but one of the main reason was the unfair treatment of Awami League.

Almost the same thing is happening in Pakistan now. PTI is the most popular political party and it is expected that more than 75% of the population of Pakistan support PTI.
3/9",N
"and it could lead to the division of Pakistan. In the history of Pakistan, Pakistan was divided into two parts, Pakistan and Bangladesh in 1971 because Awami League won elections of 1970 with 160 seats out of 300 but they were not given power by President General Yahya Khan.
2/9",N
@MoeedNj But shouldn't he have not become a pawn?The  simple scenario which makes sense is that Bhutto was so zoned into becomming the PM he colluded with the Army to deny Awami League their mandate. If he was a true democrat he would have supported ALâ€™s right to form government no ifs,N
"History is repeating itself with unbelievable similarities. PTI is the largest seat winner, than AWAMI  LEAGUE had the majority of seats , Khan in jail than MUJEEB was in jail.YHYAH kHAN than refused to give him power same right now est. refused to give him power.  I LOVE PAK.",N
PTI is the clear winner invite them to form government. History is repeating itself when the largest party AWAMI LEAGUE was refused to accept and rest of the painful story you know. Please donâ€™t repeat the same mistake again.,N
@nazmussajid In 1970 with 160 seats Shiekh Mujeeb was deserving PM of united Pakistan. But Brother sad reality is that politically (not financially) nothing is changed in Bangladesh also in 2024. Ironically its Shiekh Mujeeb's Awami league manipulating last many elections in Bangladesh now.,N
"@BenazirJatoi 
ZAB didn't accept the mandate of AWAMI LEAGUE and in conspiracy with Yayha,boycotted the assembly session in 1971.AWAMI LEAGUE was banned, SHEIKH MUJEEB  was arrested and BHUTTO was given power.History is repeating again and the eastablishnent hasn't learned.",N
"@revolt_71 The one thing that's good about awami league is they don't do discrimination in hate, they kill both Hindus and Muslims and other ethnicity people equally. They are united in hate crimes. Every religion has gotten tons of casualties by awami-chatroleague .",N
"Indian Slave Awami league propaganda against pro-democratic &amp; the most popular leader Tarique Rahman.

They don't have minimum shame.  Countries  95% people rejected them but they are whining that elections was free &amp; fair. BNP's morale is very strong. This propaganda won't work!",N
@mosharrafzaidi situation like 1970 election results.... they did mistake that time by not giving govt to majority party awami league.. same now they are repeating.....,N
@RealBababanaras Same story everywhere. I am just awaiting the day when there is a direct fight between Awami League and Bangladesh National Party to form the government in Kerala.,N
"We are back in 1970s
Mujib ur Rehman's awami league won 167 out 168 seats in East Pakistan to get simple majority to form gvt
Bhutto won 86 out of 147 seat in West Pakistan
Military Dictator yahya khan denied public mandate 
Everyone knows what happen then
#GeneralElectionN0W",N
"@ashoswai In Bangladesh there's no one else to vote other the ruling Bangladesh Awami League (BAL) party, who contested election against their own independent and Dummy candidates.  So the bravest thing to do for Bangladeshi on their election day, was just to stay at home and boycott",N
"@essa1 Well, watch out everyone and remember 1971. Awami League won with a land sliding victory but they were still crushed. Same could happen here..",N
@naeemlodhi53 Don't think they'll heed now. Allah has locked their hearts. Another Awami League debacle is loading.,N
"@xadeejourno After Awami League won in 1970, their winning candidates were â€œdisqualified â€œ or went underground or across border. Generals got a Brigadier sahib to then sit down in Dhaka and allocate the seats to non AL candidates!",N
"@UpendrraRai @narendramodi Awami League can stay loyal to india, but not the people of Bangladesh. Bangladeshis have boycotted this sham election also boycotting india.",N
"A woman was raped on campus after her husband was confined to a room at Mir Mosharraf Hossain Hall. Six people, including at least four members of JU unit Chhatra League (student wing of the Awami League), have been accused. https://t.co/ISj1vAZ66h https://t.co/cCm5kvYDTn",N
"@QayyumReports 5/8-Do Subcontinental Military feel SHAME for 100%-Rigging elections for PTI, Awami League&amp; BJP, resulting in decline of economies &amp; GDPs and sharp rise in costs of living&amp; eventually: Forcing even Subcontinental Middle Class to think to commit suicide, eg https://t.co/A5s0p42NA6",N
"@QayyumReports 4/8-UNO Needs: To order for Bobbittization of all Subcontinental Military Personnel (born by mothers who were made pregnant by DONKEYS), involved in 100%-Rigging of Elections for PTI, Awami League &amp; BJP: â€œNaa Rahe Baans Na Baje Bansuriâ€ (Without Bamboo, Flute Can Never Be Played)",N
"@HasanAskariR @PTIofficial No doubt, it would be in favour of our homeland Pakistan to accept people mandate. Do we forget 1970 east pakistani people clear vote for awami league but what happened everyone knows.",N
"It was a well-orchestrated plan, executed through abuse of state power, a special court has ruled, delivering verdicts in the two cases filed over the grenade attack on an Awami League rally 14 years ago.Â Â 
And all the accused, including BNP Senior Vice Chairman Tarique Rahman https://t.co/FMfC4wnYmp",N
"@revolt_71 @trahmanbnp It was a well-orchestrated plan, executed through abuse of state power, a special court has ruled, delivering verdicts in the two cases filed over the grenade attack on an Awami League rally 14 years ago.Â Â 
And all the accused, including BNP Senior Vice Chairman Tarique Rahman https://t.co/L66QuqrhHE",N
"@revolt_71 West killed far more people than Putin, that's a known fact. Revolt is finding flaws in Putin while simultaneously supporting the West that actively endorses Israel. And the reason is that Putin supports the Awami League government, and the West pretended to like BNP.",N
"@AkhterA22 @Jawad5official G0ldsmith agent ki intishari soch se behtar hai foj mudakhlat kare. 1970 Mai khuli chutti di gai to Bengal Mai awami league ne mar darh or zor zabardasti se mukhalifeen ko khare bhi na honay dia,  foj ne open ground chora or bharat ki support chal gai. Ye tareekhi haqeeqat hai.",N
"@revolt_71 Accept the fact that BNP has no foreign friend for their own hostile attitude. It is illogical to think a big country will not have any influence on its neighbor. What about China, the enemy of India? Still support Awami League. Why isnâ€™t their China Out campaign?",N
@falakjavaidkhan They did the same thing in 1971 with the people of Bangladesh ( then east pakistan) after winning election by awami league . In the name of operation search light then west pak army had started killing of innocent people specially resident students  in hall of the university .,N
"Pakistan has a long history of stealing others mandates; Ayub Khan stole Fatima Jinnahâ€™s mandate, PPP (led by Z A Bhutto), stole Mujib Ur Rehmanâ€™s Awami Leagueâ€™s mandate in 1970, PMLN (led by Nawaz Sharif), stole PPPâ€™s (led by Benazir Bhutto) mandate, PTI (led by Imran Khan) was",N
"https://t.co/0AFf0Cxe6P
JnU teachers protesting against their rapist students(?) of BCL, the students front of Awami League. @hrw @amnestysasia @antonioguterres @UNGeneva  @StateDept @EU_Commission @AFP @TheEconomist @UKinBangladesh @bdbnp78 @nytimes @washingtonpost @BarackObama",N
@bd24live No one will be a citizen of a free country if he cannot rise above the party opinion and overthrow the illegal Awami League.  Bangladesh will be the state of Hindustan and we are either imprisoned or exiled or missing or slaves.,N
"Following is a write-up made by an analyst of an Awami League run non-descript research outfit, gloating at how Shk. Hasina Outsmarted President Biden @POTUS and Secretary of State Blinken @SecBlinken in her determined pursuit in holding the one party election circus. The writer",
"Kozhikode, Kerala.. *Rally for Palestine* by College Students...

Have you ever seen these people organising similar protests over atrocities against Hindus in Pakistan -Bangladesh?

You won't because for them only Ummah matters... https://t.co/vAOhPrOG5r",N
Dear sir you may be right about the 1970 scenario but what about the Bangladesh of today? I love Bangladesh but unfortunately a recent rigged election turned your country into one party system. Majority of Pakistanis today regret what happened in 1970 but we will not accept one,N
"Propagandists are posting a photo of bullet hit utensil &amp; claiming it attack on farmers in farmers' protest.

Fact: Photo is from Bangladesh. https://t.co/rhJen3jqcC",N
A 75yr old retired Chief Justice of Bangladesh was beaten up by the mob while being taken to the Sylhet Court. He has suffered serious injuries. Bangladeshi students should not let the country to be ruled by mob! https://t.co/lUwwerzN8v,N
"President of @CoHNACanada, Rishabh Sarswat, one of the organizers of todayâ€™s massive protest in Toronto against the religious violence against Hindus in Bangladesh.
He calls out the Ruling Liberal/NDP party for their failure to condemn the mobs of religious extremists r*ping &amp; https://t.co/R2UGRLFVWn",N
"This is one of the reason Pakistan , Bangladesh have seen cricket standards deteriorate and Afghans have risen.

No class ,no sportsman spirit , bring politics n religion in sports and play vindictively. 

We shud avoid inviting them as commentators during IPL too!",N
"Jungkookâ€™s Dreamers was performed by students in the 7th Convocation of United International University Bangladesh (UIUB). An anthem!
https://t.co/In7g0PhqKt",O
"Today, Nupur Sharma is alleging that Hindu professors and government employees are being pressured to resign in Bangladesh. 

But just a few months ago, she and her OpIndia team got Parveen Sheikh fired from her job for 'liking' pro-Palestine tweets. 

The headline of the Opindia https://t.co/U1D9KywYj8",N
"I used to believe that India was filthy cos we were poor. As I got exposure to the developing world, I realised this is probably just an Indian thing. No where else, with the exception of Bangladesh, have I seen as filthy public spaces. ""Not MY job"" is the only explanation.",N
"Hindu women speaking in protest in Los Angeles , California, USA against the ongoing pogrom of the minority Hindu community in Bangladesh.

""..nobody is speaking about it.the media is not covering anything about it...even so many our Hindu brothers and sisters know nothing about https://t.co/AEAPO8jX19",N
"Congratulations on a wonderful career, @DineshKarthik 
Just remembered the outstanding finishing job done by DK against Bangladesh in March 2018, when India needed 34 off 12 balls. DK scored 29 off 8. #DineshKarthik https://t.co/eerNSvGg3i",O
"Pakistan defend 155 runs to seal the semifinal berth in U19 World Cup. Asia Cup Champions Bangladesh are knocked out.

-Bowlers do the job for Pakistan with Ubaid Shah's fifer and Ali Raza's three wickets. What a thriller this was.

#CricketTwitter https://t.co/19V8UTg1FN",N
"Will Indian model to control Bangladesh politics work successfully in Pakistan too? Apparently the planners &amp; conspirators think that it will; I have shared details of how Bangladesh politics has been shaped since 2009-2913 period, itâ€™s important to understand!",N
"@TimesAlgebraIND Radical Islamists in Bangladesh are attacking the Hindu minority in their homes.

They surrounded the house and the family is helpless, trying to protect their children.

Will the world protest this horror? https://t.co/VbTLT75TZR",N
"No mention of the hundreds of Hindu girls abducted and converted in Pak, and just minor mention of drastic fall in Hindu demography in Bangladesh. Seems like a whitewash job...",N
"American Health Care &amp; World of Medicine looks like a Paradise! A Heaven on Earth! But this is from the lens of the world, from the eyes of those in India, Pakistan, Bangladesh and SubSaharan Africa? From the eyes of common American citizens US Health System driven by greed and",N
"A normal day in Bangladesh's railway transportation system.
https://t.co/xy3QxFpys1",N
"India's External Debt to GDP Ratio : 

2014 : 23.9 â„…
2023 18.6 â„…

The External Debt has actually reduced under the NDA Govt.

Countries like Pakistan, Sri Lanka, Bangladesh etc defaulted because their External debt was high.",N
"#ExcitingNews:ðŸ‡µðŸ‡° Pakistan (once again) secures the most #ErasmusMundus scholarships globally!ðŸ‘
189 ðŸ‡µðŸ‡° students are awarded ðŸ‡ªðŸ‡º @EUErasmusPlus scholarships this year, followed by India ðŸ‡®ðŸ‡³(146), Mexico ðŸ‡²ðŸ‡½(121), Bangladesh ðŸ‡§ðŸ‡©(119), Nigeria ðŸ‡³ðŸ‡¬(97) &amp; BrazilðŸ‡§ðŸ‡· (84). Congratulations ðŸ‡µðŸ‡°! https://t.co/nvGugYsA9D",P
"If this is the case, was he one of the many thousand â€œstudentsâ€ who arrive from Bangladesh then rapidly claim asylum? 

The Govt must come clean on the number of crimes being committed by asylum seekers. Otherwise people will fear a deliberate cover up",N
"#Bangladesh #Police are reportedly conducting home raids and killing students under the orders of #SheikhHasina. This unprecedented brutality marks a dark time for Bangladesh. The international community must intervene to stop this ongoing massacre!
#QuotaReformationMovement https://t.co/PB5PuXVm8A",N
"Hindus in the West Midlands protest outside the Bangladesh Assistant High Commission in Birmingham to show solidarity and demonstrate against the genocide on Hindus in Bangladesh.

#birmingham #Bangladesh #bangladeshihindus #AllEyesonBangladesh #alleyeaonbangladeshhindus https://t.co/lTx4ccmEAz",N
"à¦¬à¦¿à¦¸à§à¦¤à¦¾à¦°à¦¿à¦¤à¦ƒ https://t.co/fJUeHLfqtY

#Bangladesh #Politics https://t.co/WicBhV0ghi",O
"95% people of Pakistan donâ€™t know the meaning of â€œDeenâ€
#sahiladeem #islamicmessagingsystem #deen #islam #pakistan #karachi #lahore #islamabad #india #bangladesh #muslim #sahiladeemshortvideo #parenting #deenislam https://t.co/Smua2dlHi6",O
"This may be the only chance to break #Bangladesh's two party duopoly - the Awami League and the Bangladesh Nationalist Party - and so the students and their allies should certainly take the opportunity and create a new party. However, it remains to be seen quite what this new",N
"Immigrants from Pakistan and Bangladesh protest in front of Kejriwals residence.

Kejriwal : Inki itni himmat ye pakistani ho ke mere ghar ke aagey protest karein ??
Ek baar Delhi Police mujhe de do, mai inko theek kar dunga !!

Delhi Police : Hum bhi Mota bhai se yahi bol rahe",N
"""What is happening in many parts of WB; adjacent to the border of Bangladesh is not politics, it is a design to change the demography of those areas. So that those areas geographically will be in India but democratically be part of Bangladesh,"" Writer Diptasya Jash

@AnchorAnandN https://t.co/dBUNUs6BEp",N
".@DerekJGrossman - either you are really clueless about the bigotry of leftist politics in South Asia or deliberately ignoring it. Do read the history of leftists in India, Nepal, Bangladesh, etc. You will find unholy alliances with religious extremists galore. Unfortunately such",N
"Bangladesh is under the rule of fascism.  Where students are mobbing innocent teachers and forcing them to resign. A more serious incident happened today.  A #Hinduteacher is being paraded through the streets with a garland of shoes.
#AllEyesOnBangladeshiHindus https://t.co/ZBzTfArlKS",N
"I agree that KL Rahul is out of form but he surely would have not scored 1(6) in a warmup match against Bangladesh ðŸ˜­ðŸ˜­

Some players get place in the team on sympathy quota and they have good PR so no one talks about their terrible intl stats. 

Rahul&gt;&gt;&gt;&gt;
https://t.co/633OnUDcLM",N
"That neighbouring country is Bangladesh

A new ""India Out"" campaign has been launched with the support of the country's opposition parties

They are accusing India of influencing B'desh's politics and calling for the boycott of Indian products

So what's going on?",N
"You made Pakistan 
You made Bangladesh 
When will you stop divisive politics to gain PM seat, Congress ?? https://t.co/ObMBtSsy9Q",N
This is fucking wild: two senior anti-terror officials in Bangladesh allegedly abused access to the countrywide internet and phone surveillance system to obtain personal information on people and then sell it on Telegram https://t.co/Gvla0hN8Mp,N
"25 February â€˜Pilkhana massacre dayâ€™.  In this day, 57 Army officers were killed by #Awami Dirty politics. The nation lost it's best children.

#25Feb
#25February2009
#BDRMutiny
#PilkhanaTragedy
#Bangladesh https://t.co/N9mpsfe49M",N
"Appreciation tweet for Annesha Ghosh, who did a stellar job with the microphone during the Bangladesh-India series.

If you are prepared, if you have done your research, it shows when you speak.

May her kind grow.",P
"à¦¬à¦¿à¦¸à§à¦¤à¦¾à¦°à¦¿à¦¤à¦ƒ https://t.co/6BhTY5LNXy
#Bangladesh #India #Politics #newsupdate https://t.co/elfoUB4Pro",O
Among the Religious Countries in the World BANGLADESH. The Bangladeshi students embarking on a massive protests which led the Prime Minister to resign and flee the country without delay. https://t.co/C7cy7anhBm,N
"Bangladesh: Muslim students brutally thrash Hindu boy over  'blasphemy', victim in critical state was forced to give written confession

https://t.co/cLiCniKnFh",N
"à¦•à§‹à¦Ÿà¦¾ à¦¸à¦‚à¦¸à§à¦•à¦¾à¦°à§‡à¦° 'à¦¦à¦¾à¦¬à¦¿ à¦†à¦¦à¦¾à¦¯à¦¼ à¦¨à¦¾ à¦¹à¦²à§‡ à¦—à¦£ à¦†à¦¨à§à¦¦à§‹à¦²à¦¨'

à¦¬à§ˆà¦·à¦®à§à¦¯à¦¬à¦¿à¦°à§‹à¦§à§€ à¦›à¦¾à¦¤à§à¦° à¦†à¦¨à§à¦¦à§‹à¦²à¦¨à§‡à¦° à¦…à¦¨à§à¦¯à¦¤à¦® à¦¸à¦®à¦¨à§à¦¬à¦¯à¦¼à¦• à¦¹à¦¾à¦¸à¦¨à¦¾à¦¤ à¦†à¦¬à¦¦à§à¦²à§à¦²à¦¾à¦¹ à¦†à¦œ à¦¶à¦¨à¦¿à¦¬à¦¾à¦° à¦¸à¦¨à§à¦§à§à¦¯à¦¾à¦¯à¦¼ à¦¢à¦¾à¦•à¦¾ à¦¬à¦¿à¦¶à§à¦¬à¦¬à¦¿à¦¦à§à¦¯à¦¾à¦²à¦¯à¦¼à§‡à¦° à¦•à§‡à¦¨à§à¦¦à§à¦°à§€à¦¯à¦¼ à¦²à¦¾à¦‡à¦¬à§à¦°à§‡à¦°à¦¿à¦° à¦¸à¦¾à¦®à¦¨à§‡ à¦¸à¦‚à¦¬à¦¾à¦¦ à¦¸à¦®à§à¦®à§‡à¦²à¦¨à§‡ à¦¨à¦¤à§à¦¨ à¦•à¦°à§à¦®à¦¸à§‚à¦šà¦¿ à¦˜à§‹à¦·à¦£à¦¾ à¦•à¦°à§‡à¦¨à¥¤

#quota #bangladesh https://t.co/Wjf9drwlIp",O
"TENS of THOUSANDS have FLOODED the streets of Dhaka, Bangladesh to protest against the quota system for government jobs.

PM SHEIKH HASINA = A MASTERCLASS IN VOTE RIGGING, CORRUPTION, &amp; AUTHORITARIANISM.
 https://t.co/jMu7bGnAJU",N
"""Bangladesh doesn't have any politics left,"" @Yunus_Centre , 83, said last week in his office in Dhaka, the capital. ""There's only one party which is active and occupies everything, does everything, gets to the elections in their way.""

He added, ""They get their people elected in https://t.co/uqmZFuiCko",N
"By destroying the electoral system and democracy of Bangladesh, #India has become the enemy of the people by keeping a party in power by force. Let us all boycott all #Indianproducts, this is our protest. Let us all do it.@IndianExpress @IndiaToday #Boycottindia https://t.co/01oMSrjWty",N
Southeast University refuses to allow Hindu students to celebrate Saraswati Puja . Saraswati Puja is the biggest festival among Hindu students in Bangladesh. We are drawing the attention of the Ministry of Education in this regard. @MohibulC_Nowfel https://t.co/EMrm8q2EMw,N
"à¦“à¦¬à¦¾à¦¯à¦¼à¦¦à§à¦² à¦•à¦¾à¦¦à§‡à¦° à¦¬à¦²à§‡à¦¨, â€˜à¦­à¦¾à¦°à¦¤à§‡à¦° à¦¸à¦™à§à¦—à§‡ à¦¸à¦®à§à¦ªà¦°à§à¦• à¦¨à¦·à§à¦Ÿ à¦•à¦°à¦¾à¦° à¦¦à§à¦°à¦­à¦¿à¦¸à¦¨à§à¦§à¦¿ à¦¬à¦¿à¦à¦¨à¦ªà¦¿à¦° à¦®à¦¾à¦¨à¦¸à¦¿à¦• à¦¬à§ˆà¦•à¦²à§à¦¯à§‡à¦°à¦‡ à¦¬à¦¹à¦¿à¦ƒà¦ªà§à¦°à¦•à¦¾à¦¶à¥¤â€™
#Bangladesh #politics #newsupdate 
https://t.co/uF3MHeUJMf",O
"Bangladesh University of Engineering &amp; Technology (#BUET) students are protesting against the possible re-entry of Chhatra League in the campus. 

#ChhatraLeague is the Vendetta Organization of the ruling regime known for suppressing the dissidents in the Educational Institutes https://t.co/PQa77mh2fS",N
"Dylan Page made a video on Bangladesh with 4.5 Million views. Keep spreading the word because it's working.

#StarLinkforBangladesh 
#Save_Bangladeshi_students https://t.co/bwaYC9gAFI",N
"â€˜à¦¦à§‡à¦¶à§‡à¦° à¦®à¦¾à¦¨à§à¦· à¦¨à§à¦¯à¦¾à¦¯à¦¼ à¦¬à¦¿à¦šà¦¾à¦° à¦ªà¦¾à¦¬à§‡, à¦†à¦®à¦¾à¦¦à§‡à¦° à¦®à¦¤à§‹ à¦¯à§‡à¦¨ à¦¬à¦¿à¦šà¦¾à¦°à¦¹à§€à¦¨à¦¤à¦¾à¦¯à¦¼ à¦•à¦·à§à¦Ÿ à¦ªà§‡à¦¤à§‡ à¦¨à¦¾ à¦¹à¦¯à¦¼â€™
#bangladesh #politics
https://t.co/jaC6Qi3T5W",O
"Pakistan Cricket Politics has no end. Former cricketers reaction to Rizwan's press conference. Pakistan thrashed Afghanistan. India demolishes Bangladesh. #PCB #Rizwan #INDvsBAN #PAKvsAFG #CricketTwitter

https://t.co/CzNG5hfoIu",N
"â€˜à¦à¦‡ à¦°à¦¾à¦·à§à¦Ÿà§à¦°à¦•à§‡ à¦¤à¦¾à¦°à¦¾ à¦¸à¦¤à§à¦¯à¦¿à¦•à¦¾à¦° à¦…à¦°à§à¦¥à§‡ à¦—à¦­à§€à¦° à¦ªà§à¦²à¦¿à¦¶à¦¿ à¦°à¦¾à¦·à§à¦Ÿà§à¦°à§‡ à¦ªà¦°à¦¿à¦£à¦¤ à¦•à¦°à§‡à¦›à§‡à§· à¦¦à§‡à¦¶à§‡ à¦à¦–à¦¨ à¦†à¦“à¦¯à¦¼à¦¾à¦®à§€ à¦²à§€à¦— à¦¨à¦¾à¦‡, à¦¸à¦¬ à¦ªà§à¦²à¦¿à¦¶ à¦²à§€à¦—à¥¤â€™
#Bangladesh #Politics #AwamiLeague #BNP 
https://t.co/beDd1HFiF0",O
"@TimesAlgebraIND Kozhikode, Kerala.. *Rally for Palestine* by College Students...

Have you ever seen these people organising similar protests over atrocities against Hindus in Pakistan -Bangladesh?

You won't because for them only Ummah matters... https://t.co/B8G3dSqSKK",N
"Sheikh Mujibur Rahman abolished multiple party politics and established autocratic BAKSAL but Ziaur Rahman brought back democracy in Bangladesh. In fact, BAL should be grateful to Zia for the revival. Democracy in Bangladesh has always been revived by @bdbnp78 @BNPBdMediaCell - https://t.co/oCpnOJ0oh5",N
"â€œThe weaponization of the judicial system to attack journalists, human rights defenders, and civil society leaders diminishes the independence of the judiciary and erodes fundamental human rights,â€ stated a group of UN special rapporteurs.
https://t.co/c9XC9POsZJ",N
"The current unelected government has managed to control Bangladesh for the third time since 2014, with allegations of undue influence from neighboring India. To strongly oppose this perceived interference in our politics, there's a call to boycott Indian products, reflecting our https://t.co/T3kRfKhJfk",N
"Mominul Haque says Bangladesh's first-class system isn't preparing cricketers for the challenge of Test cricket ðŸ˜•

https://t.co/TpwECFzr4J | #BANvSL https://t.co/TMOnp5XkRF",N
Popular opinion: May cyclonic system move poleward (north) towards Bangladesh https://t.co/PCflYgHVrx,O
"Another one. Now Independent University of Bangladesh has refused to allow Hindu students to celebrate  Saraswati Puja.
#CommunalBangladesh https://t.co/qQxwqEzYxg",N
"@chude__ big lie, why do Nigerians think that they matter in the scheme of things when it comes to matters of the world? there are indians, pakistanis, bangladesh, china, philipinos etc then there are other africans that the educational system and medical system are not letting in into d",O
In Bangladesh la quota di persone che vivono in condizioni di povertÃ  estrema Ã¨ diminuita negli ultimi 40 anni dal 40% al 5%. https://t.co/LJgoXi0u1U,O
