full_text,Sentiment
"Minister @saberhc announces UN Climate Adaptation Conference #NAP_Expo_2024 will take place at BICC from April 22-25. Organized under UNFCCC, with HPM Sheikh Hasina inaugurating. 383 people from 104 countries registered. Expert sessions and displays on adaptation. https://t.co/vRv7GWc2sc",O
"1/ Bangladeshi voters went to the polls on Jan. 7, but the results were predetermined: Prime Minister Sheikh Hasina and the ruling Awami League secured a fourth consecutive term, pushing the country further to authoritarianism. https://t.co/SOOnhYzS53",N
"Explained | What impact will Bangladesh PM Sheikh Hasinaâ€™s electoral victory have on the countryâ€™s bilateral relationship and development partnership with India?
https://t.co/FYJFsCrUrU",O
"After over a month of protests, violence from Awami/Chhatra League members, from the police and military, hundreds of injured and martyred students/civillians/children, curfews and communication blackouts, Sheikh Hasina, resigned as Prime Minister after 15 years of rule, and fled https://t.co/Lfy9PWpRGT",N
"ð—£ð—¥ð—˜ð—¦ð—˜ð—¡ð—§ â¬‡ï¸ 

Fast forward to 2024, Sheikh Hasina, who is also part of the Awami League, and is the daughter of the late Sheikh Mujibur Rahman, had been Prime Minister of Bangladesh for 15 years until her resignation this August. Her rule came at the cost of many innocent https://t.co/RUIG4Uho8d",N
"My leader... ðŸ˜­

We are doing nothing.. The nation must be sorry to the lost queen of Bengal.
India and Sheikh Hasina have taken away her six years ...",P
"Nobel laureate Professor Yunus fears that Bangladesh's dictator Sheikh Hasina may put him in jail.

In an interview with @zeitonline, Professor Yunus was asked why he decided to speak on the record. In response he said, ""Because our existence is threatened by force"".

Indeed it https://t.co/5qCBsS4FWf",N
"As Sheikh Hasina Hangs on to Power, #Bangladesh's Economy Nears Collapse

With the enduring absence of a credible opposition party, a free press and an independent judiciary, prospects of economic recovery from further shocks look grim.

M Niaz Asadullahâœï¸
https://t.co/c6v0QdOkBB",N
Prime Minister Sheikh Hasina of Bangladesh is expected to roll to a fourth consecutive term as the gutted opposition boycotts what it calls an unfair election. https://t.co/6zn73fdZ1f,N
@MeghUpdates Modi ji ab Sheikh Hasina ko aam ki peti bhejenge,O
"Prime Minister Sheikh Hasina expressed her desire for inclusive housing development in Bangladesh, emphasizing that not only the wealthy should live in flats but also rickshaw pullers, daily labourers, and ordinary working people.
#bangladesh
https://t.co/3fUVBwGDgP",P
"#Opinion | Sheikh Hasina's Win In Bangladesh And What It Means For India - By Bharti Mishra Nath (@BhartiNath2)

https://t.co/iQdp1Nk84G https://t.co/bG2Mqfkn2B",O
"Sheikh Hasina sworn in as Bangladesh PM for fifth term

https://t.co/7E9QJgjQQv",O
"Sheikh Hasina is very happy to contribute to India's economy. But she should have been worried about the plight of the Bangladesh's health sector.

No wonder India installed a puppet whose job is to serve their purpose. https://t.co/KI1KGmwNX6",N
"#BREAKING | As per sources, Bangladesh PM Sheikh Hasina is upset with China hence decided to cut short her visit 

Tune in for live updates here - https://t.co/6Xgvs8HmFk

#Bangladesh #China #SheikhHasina https://t.co/GlC6Lr79jn",N
"Many Indians call out Sheikh Hasina for being soft on radical Islamists. Sheikh Hasina is the most secular and Pro India PM, one can ever imagine. A non-elected Hindu is inducted into the cabinet as Health Minister purely based on his achievements.",N
"Sheikh Hasina compromised the sovereignty of Bangladesh in every possible way just to stay in power. 

But India has to answer why such unethical surveillance was carried out on our citizens from within our soil.",N
"#FirstpostFlashback: The election in Bangladesh is expected to secure another term for Prime Minister Sheikh Hasina. Though her grip on power looks unshakeable now, her rise to the top is a story riddled with sacrifice and grit. Catch the full story on Flashback with @Palkisu https://t.co/iplXPXt5Xw",N
"PM Sheikh Hasina's visit carries substantial diplomatic importance, highlighting the ongoing enhancement of bilateral relations between Bangladesh ðŸ‡§ðŸ‡© and India ðŸ‡®ðŸ‡³

â€¢ Details regarding the agenda of Sheikh Hasinaâ€™s visit and specific engagements are yet to be disclosed. https://t.co/a7G6U9iiOH",P
"President of #Bangladesh, Mohammed Shahabuddin has said the #homecoming of @albd1971 President #SheikhHasina paved the way to establishing the spirit of the #LiberationWar, the values of #independence and #democracy in the country.
ðŸ‘‰https://t.co/VSuUqeoCVA
@crihere @info_min_BD https://t.co/llfOxYUoBZ",P
"Sheikh Hasina's men loot money and gold from banks. They also loot food from food godowns. 

#HasinaLoots https://t.co/CJfunNOhuI",N
"The special train service on the #Chattogram-Cox's Bazar route, which was declared closed on 30 May due to engine shortage, has resumed today (12 June). It will run for a week on the occasion of #EidulAdha or until 24 June.
ðŸ‘‰https://t.co/rAi3Yzv6HM
#AwamiLeague #Bangladesh https://t.co/m58NjYqZ2n",O
"Sheikh Hasina in New Delhi: India to Send Technical Team to Evaluate #Bangladesh's Teesta Project

@DevirupaM âœï¸

#Diplomacy
https://t.co/2sBKAtG4DY",P
"Ex Chief Justice Surendra Kumar Sinha Says He Is Open To Return To Bangladeshs And Face Trial If Provided Security  

Sinha Alleges Ex PM Sheikh Hasina For Forcing Him To Resign While He Didnt Agree To Change A Crucial Verdict Regarding Power And Judiciary. Sinha Left Bangladesh https://t.co/u9yMCG2dEa",N
"This is call democracy. 

A east pakistani filed nomination for panchayat Pradhan in Malda district.  

True essence of Vishwaguru. 

Mamata have always been jealous of Sheikh Hasina https://t.co/Vs2bj28auK",O
"""These values are the cornerstone of the Commonwealth family and create vibrant democratic societies which attract the inward investment needed for economic growth,"" he said in a letter to Prime Minister Sheikh Hasina.
#Bangladesh #UK #Diplomacy 
https://t.co/BAsqc7Eg86",P
"Bangladesh has become a complete failed state. Inside the country, Sheikh Hasina's dictatorial government made people's lives deprived of rights and miserable. On the Indian border, torture of Indian border forces continues as always. Added to this, now on the Myanmar border, is",N
"Prime Minister Sheikh Hasina on Saturday said the government has taken steps to build a modern armed forces imbued with modern technological knowledge.
#Bangladesh 
https://t.co/Wxwr33yB0F",P
"Sheikh Hasina, Â«Â bÃ©gum de ferÂ Â» Ã  la tÃªte du Bangladesh https://t.co/9igNJkVwux",O
"#BangladeshElections | PM Hasina Eyes 4th Straight Term As Bangladesh Votes Amid Strike, Arson
https://t.co/m4EFXdn3Qj https://t.co/ugi6wzYKfU",O
"#Bangabandhu gave the finest speech of his life at the erstwhile historic Race Course ground. Disregarding the intimidation and threats of the #PakistaniArmy's tanks, guns and machineguns, and in the presence of a million audience, Bangabandhu #SheikhMujiburRahman declared in a https://t.co/nfPv5EPUcX",O
"The cabinet Division has invited some 25 MPs as ministers and 11 as state ministers to take oath as new cabinet members led by Prime Minister Sheikh Hasina.
Read more: https://t.co/zIodRu8fIz
#CabinetMember #Politics #Newsupdate https://t.co/pApCDJphUV",O
"To set the record, here is the link to the historic speech of independence made by Sheikh Mujib ur Rehman on March 7, 1971, and as available on the website of the Government of Bangladesh. This documentâ€™s preface was written by Sheikh Hasina, Prime Minister of Bangladesh and",O
"#SmartBangladeshâ¤ï¸ðŸ‡§ðŸ‡©
Mujibio Shuvecsha O Shuvo Kamona Honorable Prime Minister Sheikh Hasina...à¦œà¦¯à¦¼ à¦¬à¦¾à¦‚à¦²à¦¾ à¦œà¦¯à¦¼ à¦¬à¦™à§à¦—à¦¬à¦¨à§à¦§à§â¤ï¸ðŸ‡§ðŸ‡© https://t.co/pcNFKK8rlJ",O
"Days ahead of Bangladesh PM Sheikh Hasinaâ€™s upcoming visit to China, Indiaâ€™s envoy to Bangladesh Pranay Verma has identified â€˜energy connectivityâ€™ as a key pillar of the â€œtransformative changesâ€ that are shaping the India-Bangladesh relationship, @janusmyth reports. https://t.co/LcjV9ztxmw",O
"Soldiers were out in force Saturday in cities around Bangladesh after another day of lethal clashes between student protesters and police prompted PM Sheikh Hasina to cancel a foreign diplomatic tour.
https://t.co/6smtNSGmvX",N
"Two zero two four (2024)
Sheikh Hasina Once More.
#Election Bangladesh https://t.co/trJkY6ACNQ",P
"Bangladesh's main opposition party BNP called for a 48-hour nationwide general strike starting Saturday to demand the resignation of the ""illegal government"" of PM Sheikh Hasina and to protest against the January 7 general election, which it is boycotting.
https://t.co/nwNJmwXoNg",N
Nothing exciting here. Bangladesh's problem is deeper and you guys know it very well. Nazmus Sakib's political activities will be brutally suppressed by dictator Sheikh Hasina and the US will only watch it. The plight of Professor Yunus is a prime example. People no longer trust,N
"â˜ž  HPM Sheikh Hasina chaired a meeting of The National Economic Council (NEC) Sher-e-Bangla NEC Conference Center today, on March 12, 2024.

#Bangladesh 
#SheikhHasina 
#HPMSheikhHasina  ~ ðŸ“¸ @joy_yeasin
â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€â”€
#SuhelSylhet ðŸ‡§ðŸ‡© https://t.co/AxqN5qBSye",P
Around million joined the rally addressed by Sheikh Hasina marking the historic home-coming day of Bangbandhu Sheikh Mujibur Rahman. https://t.co/6qkccmSIwc,O
"à¦›à¦¬à¦¿à¦˜à¦°: à¦¶à§à¦°à¦¦à§à¦§à¦¾à¦œà§à¦žà¦¾à¦ªà¦¨à§‡ à¦¨à¦¤à§à¦¨ à¦¸à¦°à¦•à¦¾à¦°
#sheikh #hasina #savar #dhanmondi #bdnews24 https://t.co/WNVYVObDgn",O
Someone put this Sheikh Hasina wannabe in her place lmao.,N
84 legal cases against former Bangladesh PM Sheikh Hasina for her crimes during nationwide student-led protests sparked in July. https://t.co/i566e9WCvj,N
Mihaaru Dhen mi Alhaa buruga akun heevey Sheikh Hasina copy koffa hunna hen ves miverin ðŸ«£ðŸ¤£ðŸ¤£,O
"HPM Sheikh Hasina has met the President of the @WPLeadersOrg @skochmehrin today at her hotel in Munich. PM is visiting Germany to attend the @MunSecConf from 16 to 18 February.
#MunichSecurityConference #Munich #Bangladesh #AwamiLeague #SheikhHasina https://t.co/AaRvj0gPd0",O
Imagine the plight of Hindus in Bangladesh post Sheikh Hasina then.,N
"Another ridiculous election of Sheikh Hasina tomorrow. But, like 2014 and 2028, election officials and ruling party @albd1971 workers have already started stamping the ballot papers.

#NoElectionUnderHasina #BoycottHasina #BoycottIndia #BoycottDummyElection 

@State_SCA https://t.co/VEUBpHPDUz",N
"BREAKING NEWS: 

Prime minister of Bangladesh- sheikh Hasina calls on all the Muslim countries to issue a common currency for trade . 

She further said that like BRICS countries,  Muslim countries can also trade in common currency. https://t.co/rlnFR6DUkd",P
"Prime Minister Sheikh Hasina has sought to know the numbers of Indian saris in possession of the wives of BNP leaders who have called for boycotting Indian products.
#Bangladesh #PrimeMinister #SheikhHasina #NewsUpdates
https://t.co/gZOHsh8GFI",N
"@abhijitmajumder Even Sheikh Hasina do not appear so ""kattar"" in her appearance and behaviour, inspite of being the PM of Islamic Republic of Bangladesh as this lady mafia appears!",N
"#NAP_EXPO_2024_BANGLADESH 

ðŸ—“ï¸ Inauguration: 22nd April by H.E. Sheikh Hasina, MP, Hon'ble Prime Minister of Bangladesh

ðŸŒ± Driving Transformational Adaptation through National Adaptation Plans

ðŸ“ 22-25 APRIL, 2024 BICC, DHAKA.

Ministry of Environment, Forest and Climate Change https://t.co/55H9ZIDyS0",O
"ã€å­ŸåŠ æ‹‰äººåœ¨ç´ç´„æ™‚ä»£å»£å ´è²æ´åœ‹å…§å­¸ç”Ÿé‹å‹•ã€‚ã€‘
äºžæ´²â€“ å­ŸåŠ æ‹‰åœ‹å­¸ç”Ÿé ˜å°Žçš„åå°æ”¿åºœæŽ¡å–å…¬è·é…é¡åˆ¶çš„æŠ—è­°æ´»å‹•ä¸æ–·æ“´å¤§ä¹‹éš›ï¼Œå­ŸåŠ æ‹‰åœ‹æ”¿åºœ7æœˆ19æ—¥å®£å¸ƒå…¨åœ‹ç¯„åœå…§å¯¦æ–½å®µç¦ï¼Œä¸¦éƒ¨ç½²è»éšŠã€‚ é€™å ´å¸­æ²å­ŸåŠ æ‹‰åœ‹å…¨åœ‹å„åœ°çš„è‡´å‘½æ€§æŠ—è­°å°åŸ·æ”¿15å¹´çš„ç¸½ç†è¬èµ«Â·å“ˆè¥¿å¨œ(Sheikh Hasina)å°ˆåˆ¶æ”¿åºœæ§‹æˆé‡å¤§æŒ‘æˆ°ã€‚ https://t.co/mtSdGxIwq7",O
"hey, if u have a moment pls sign the petition to demand PM Sheikh Hasina to release all students in custody and to demand the protection rights of Bangladeshi students and citizens. Over 200 students have been killed and more than 500 have been arrested. https://t.co/swBHembOS6",N
"'Reports of attacks on Hindus are incorrect' - Bangladesh's Opposition Party BNP's Secretary General Mirza Islam Alamgir

He also remarked that if India fails to extradite Sheikh Hasina to Bangladesh, it could jeopardise bilateral relations.

Itâ€™s  no surprise to see the https://t.co/AWQEO77F0l",P
"""In a letter addressed to Honâ€™ble PM Sheikh Hasina, Prime Minister of India Shri Narendra Modi expressed his heartfelt condolences on the loss of lives in the fire at the Green Cozy Cottage Shopping Mall in Dhaka on 29 February 2024. He also wished speedy recovery to those https://t.co/thGL0RPChH",O
"DUMMY ELECTION
BAKSHAL 2

BIG SHOW, 7 JANUARY 2024
Produced By Sheikh Hasina https://t.co/JfXwUdc3DW",N
"#Opinion: Economy Hangs In The Balance As Sheikh Hasina Hangs On To Power - By M Niaz Asadullah (@Niaz_Asadullah) 
https://t.co/Rh1urfb4of https://t.co/0NQsGtYZ66",N
"De-Dollarisation drive reaches Muslim regions

ðŸ‡§ðŸ‡©Bangladeshi PM Sheikh Hasina proposes to adopt a common currency within the D-8 Organization for Economic Cooperation: 

ðŸ—¯ ""My objective is to elevate the welfare and socio-economic status of our people. This is achievable only if https://t.co/jinuA31i4k",P
"We remember Ilias Ali every day. He was a victim of dictator Sheikh Hasina's dirty politics and then the enforced disappearance by her state machineries.

#EnforcedDisappearances #ExtraJudicialKillings",N
"April 27  AEN

 Bangladesh and Thailand will work together on the Rohingya issue, Bangladesh Foreign Minister Hasan Mahmud said on April 26.

 Bangladesh Prime Minister Sheikh Hasina and Thai Prime Minister Srettha Thavisin visited Thailand yesterday (April 26). https://t.co/5kpbl1Umqh",O
"The Indian Foreign Secretary, Vinay Mohan Kwatra, held a meeting with #Bangladesh Prime Minister Sheikh Hasina today in Dhaka. 

Sec. Kwatra also met Bangladesh Foreign Minister Hasan Mahmud. https://t.co/06DoAJ2ZX6",O
"à¤šà¥€à¤¨ à¤¸à¥‡ à¤ªà¤¹à¤²à¥‡ à¤­à¤¾à¤°à¤¤ à¤•à¥à¤¯à¥‹à¤‚ à¤ªà¤¹à¥à¤‚à¤šà¥€ à¤¬à¤¾à¤‚à¤—à¥à¤²à¤¾à¤¦à¥‡à¤¶ à¤•à¥€ PM Sheikh Hasina ?
#PMmodi #SheikhHasina #Bangladesh 

@EditorRanjit à¤¸à¥‡ à¤­à¤¾à¤°à¤¤-à¤¬à¤¾à¤‚à¤—à¥à¤²à¤¾à¤¦à¥‡à¤¶ à¤¸à¤‚à¤¬à¤‚à¤§à¥‹à¤‚ à¤ªà¤° à¤¬à¤¾à¤¤à¤šà¥€à¤¤
#TeestaRiver #ConservationProject #Connectivity  
à¤¯à¥‚à¤Ÿà¥à¤¯à¥‚à¤¬ à¤²à¤¿à¤‚à¤• 
https://t.co/dyz2Dr1owW https://t.co/JAm1lt1yZ0",O
@TamjidulH24v2 @ChiefAdviserGoB Bangladesh need to create a strong media to counter balance the hawkish Indian media.  Indian media has been attacking Bangladesh because they  only cared about  Sheikh Hasina and her pro Indian family. Bangladesh was about to lose its independence  and sovereignty.,N
"Prime Minister Sheikh Hasina urged world leaders yesterday to end the arms race and instead use the money to combat climate change.
#Bangladesh #Diplomacy 
https://t.co/keR78e6Zxh",P
"Prime Minister #SheikhHasina said today that @albd1971 government is actively modernising and adapting the country's #armedforces to make them capable of facing any situation as various #development projects are being implemented for the purpose.

""We want our armed forces to be https://t.co/lQL5frI8X7",O
"Special Brach(SB) officials who were involved in publishing â€˜The Secret Documents of Intelligence Branch on Father of The Nation Bangabandhu Sheikh Mujibur Rahmanâ€™, called on Prime Minister Sheikh Hasina at Ganabhaban on Saturday.
#Bangladesh 
https://t.co/MaAB800bco",O
Called on Honâ€™ble PM Sheikh Hasina after my lecture at the Liberation War Museum in Dhaka https://t.co/pKmKiOzbnH,P
"Amidst the ongoing heatwave in #Bangladesh, a lot of interest has been generated on heat as a phenomenon requiring policy attention. This is particularly true of Dhaka, as recent research showed that the city experiences temperature three degrees higher than neighbouring areas https://t.co/llDzBBp0gW",O
"Be it Vaccines, Energy, S-400s, Delhi declaration, support to Sheikh Hasina, Diamond ban, taking on FVEY or the Iran deal, India under Modi has stood its ground &amp; kind of set the grounds rules for any future relationship.",N
"Bangladesh Prime Minister Sheikh Hasina Arrives In Delhi For PM's Swearing-In Ceremony

Full Video: https://t.co/6UtU2lz6dF
.
.
.
#bangladesh #sheikhhasina #narendramodi #nda #latestnews #electionresults2024 #PrimeMinisterOfIndia https://t.co/6jJGbGiMSZ",O
"At the invitation of Chinese Premier Li Qiang, Prime Minister Sheikh Hasina of the People's Republic of Bangladesh will pay an official visit to China from July 8 to 10, a Chinese foreign ministry announced Thursday. #China #Bangladesh https://t.co/5r4yhM9gaS",O
This photo broke my heart. One of hundreds teenagers Sheikh Hasinaâ€™s Police has killed. https://t.co/LF0XSVdbel,N
"Sheikh Hasina and her bribed police has started hitting women and teenagers. Approx. 300 teenagers have been killed over last 3 days. 

 https://t.co/5eVXkF8TmP",N
"Bangladesh's 2024 elections are set to intensify national divisions, with PM Sheikh Hasina likely to win a fourth term amid opposition claims of unfairness. https://t.co/8GH9jIdukV",N
"Protesters demand resignation of Prime Minister Sheikh Hasina and her government- DW analysis. 

#StepDownHasina
#SaveBangladeshiStudents https://t.co/bPKC39v0wy",N
Bro thought he was Sheikh Hasina of Pakistan Politics.. https://t.co/BiG0WhSUJP,N
"Sheikh Hasina, Â« bÃ©gum de fer Â» Ã  la tÃªte du Bangladesh https://t.co/GB6wj8cgeA",O
"Prime Minister #Sheikh #Hasina today chaired a regular meeting of Father of the Nation #Bangabandhu Sheikh Mujibur Rahman Memorial Trust

#bangabandhumemorialtrust #Bangladesh 

https://t.co/F9iQEqCsW0",O
"Awami Police foil the women's rally organized by BNP on the occasion of International Women's Day. There is no way to hold a meeting in the dictatorship of Sheikh Hasina.

#BangladeshUnderFascism #StepDownHasina #IndianPuppetSheikhHasina #DictatorHasina
#BDPoliceBrutality https://t.co/XqlDYXdNuj",N
"Prime Minister #Sheikh #Hasina yesterday asked the government officials to stand beside people and work for them as the public welfare is at the centre of her government's every programme.

#Bangladesh #NewsUpdate 

https://t.co/4H7CDrcKQn",P
"Bangladesh: PM Sheikh Hasina slams oppositionâ€™s Boycott-India campaign using Bengali saris as tool

#Bangladesh #SheikhHasina https://t.co/Wl6hN8odxh",O
The bone of contention between Sheikh Hasina and Mamata didi https://t.co/f7Fyv9fhte,O
"My article: As Sheikh Hasina reaches India to attend Narendra Modiâ€™s swearing-in ceremony, read why BJPâ€™s re-election is good for India-Bangladesh relations - via @OpIndia_com 

#SheikhHasina #Bangladesh #India #NarendraModi @albd1971 @crihere 

https://t.co/FPVvRHexSN",P
"Bangladesh PM Sheikh Hasina arrives in Delhi for Modi 3.0 inauguration

#ElectionsOnWION

Track #LIVE updates from PM Modi 3.0 inauguration ceremony here: https://t.co/om5AW6eVbg

https://t.co/om5AW6eVbg",O
"Live now: #VantageThisWeek with @palkisu 

-Putin-Kim Bromance
-Putin in Vietnam 
-Sheikh Hasina in India
-India: NEET-NET Row
-Kenya: Anti-tax Protests
-India's Tibet Policy https://t.co/rwclgG669A",O
"The friendship between #China and #Bangladesh is expected to be enhanced after the two countries established a comprehensive strategic cooperative partnership on Wednesday during the latter's Prime Minister Sheikh Hasina's visit to Beijing, experts say. #BeltandRoad https://t.co/cqTCaiW58n",P
"I was delighted to catch up with the Bangladesh High Commissioner, following the recent elections. Congratulations to PM Sheikh Hasina for winning a fourth term! https://t.co/W8V6ZBg3gN",P
"How Bangladeshâ€™s longest-serving leader was toppled by student protests â€“ podcast

Sheikh Hasina was a historic figure in her country. But now she has fled after protests turned violent. How did it all go wrong? David Bergman (@TheDavidBergman) reports

https://t.co/upWwOEIEyE",N
"à¦¸à§à¦¨à¦¿à¦—à§à¦¨ à¦®à§à¦–à¦Ÿà¦¿à¦¤à§‡ à¦®à¦¿à¦·à§à¦Ÿà¦¿ à¦¹à¦¾à¦¸à¦¿ à¦†à¦° à¦¦à§à¦šà§‹à¦– à¦œà§à¦¡à¦¼à§‡ à¦®à¦¾à¦¯à¦¼à¦¾;   'à¦…à¦ªà¦°à¦¾à¦œà¦¿à¦¤à¦¾ à¦¸à§à¦¬à¦ªà§à¦¨à¦¸à¦¾à¦°à¦¥à§€' ðŸŒº ðŸ’ž
'SHEIKH HASINA' In early 80's decade. https://t.co/IAygiLmWaL",O
"ðŸ—£ï¸ ""What's happening in Gaza is genocide""

Bangladeshi Prime Minister Sheikh Hasina denounces Gaza events as genocide, emphasizes need for Palestinian statehood and UN resolution implementation https://t.co/t8jeUQjuJp https://t.co/umk15Dw20X",O
"#FirstpostFlashback | The Sheikh Hasina story: From tragedy to power 

@Palkisu brings you her life story on Flashback: 
https://t.co/k8Hak3v91Y https://t.co/6UfBoAPsXa",P
Leaked Antony Blinken Emails Revealed PM Modi Turned On Sheikh Hasina To Prevent A United States Of Islam,N
"President Mohammed Shahabuddin, Prime Minister #Sheikh #Hasina and #Bhutanese King Jigme Khesar Namgyel Wangchuck have paid tributes to the martyrs of the #Liberation #War
#IndependenceDay
https://t.co/QfJWOBZvAM",P
"Ok, But Why U R Showing Congress Meeting Sheikh Hasina Alongside Congress Meeting A Separatist?  How It Is Even Related ðŸ˜­ðŸ˜­

What U R Trying To Convey https://t.co/3pEmTKcfsc",O
Sheikh Hasina sworn in as Bangladeshi PM,O
"Modi ji is working on a dangerous mission: 'One Nation, One Leader'

Under this, Modi will put all the opposition leaders of India in jail like Putin and Sheikh Hasina: Kejriwal",N
"#BangladeshPrime Minister Sheikh Hasina, if you kill the current generation of students in your country, then who are you preserving the country's freedom for?

#Bangladesh #justlisted #UnitedNations #SaveStudents https://t.co/ppcZ7gLyM0",N
"The suspected Chinese spy (a pigeon) is finally released. ðŸ¤£ðŸ¤£

This is only possible in India - the country that does everything to keep Bangladesh's dictator Sheikh Hasina in power illegally.",N
"Islamist militants associated with Sheikh Hasinaâ€™s party kill 3 members of a Hindu family in Bangladesh: a couple and their only daughter. https://t.co/EGunBCfDpE

Sheikh Hasina is as much an Islamist as BNP. She is propped up by Modi only because she has given sweet heart deals",N
"Meeting held between ðŸ‡§ðŸ‡© Prime Minister Sheikh Hasina &amp;  #COP28 President Dr. Sultan Al Jaber at the @MunSecConf! 

Their discussion focused on climate progress and the implementation of the #UAEConsensus.  
#MSC2024 #JustTransition #ClimateJustice",O
"At #Gopalganj, the home district of Prime Minister Sheikh Hasina, just before the election day!

Vote for Boat...Joy Bangla...ðŸ™

#BangladeshElections https://t.co/YgrW65gQTX",P
Sheikh Hasina Wajid &amp; Nawaz Sharif are going hand in hand to get themselves appointed As PMðŸ«£,O
"An iconic character like her can't be judged in a word. If you talk about Sheikh Hasina or Narendra Modi, they would definitely wanted to become a Prime Minister like her.

People will remember her for many things but as a Bangladeshi I will always worship her.

#IWD",P
"Prime Minister Sheikh Hasina on Thursday said the international recognition of Bangabandhu's historicÂ  March 7 speech proves that history can not be obliterated,Â  although the anti-liberation forces tried it.
#bangladeshi #banglanews 
https://t.co/VULCUcgdlr",O
"Minister @saberhc assures joyful Eid for all!Â  Instead of lavish iftar parties, govt under HPM Sheikh Hasina's directives, prioritizes support for the needy. Proud to stand by our people, always. #EidWithJoy https://t.co/qYQ8OZpblG",P
"Prime Minister Sheikh Hasina on Saturday hailed the engineers as the driving force for transforming the country into a smart Bangladesh.
#Bangladesh 
https://t.co/qP7hdaSoJJ",P
"Sheikh Hasina sworn in as Bangladeshi prime minister
https://t.co/djyzu13uAB https://t.co/CzXG2LGxA2",O
"It is with renewed optimism that we look to Sheikh Hasinaâ€”who took oath as the prime minister for the fourth consecutive termâ€”and her newly formed cabinet to address the pressing concerns of the people and take the country towards a secure, sustainable and egalitarian future. https://t.co/JdHcipaRGe",P
"Meet the world's longest-serving female PM!
Sheikh Hasina secures fourth consecutive term as PM of Bangladesh
#ITVideo #WorldToday #Bangladesh #SheikhHasina | @Geeta_Mohan @Nehakum50282300 https://t.co/e42rJYV8Zb",P
"à¦›à¦¬à¦¿à¦˜à¦°: à¦Ÿà§à¦™à§à¦—à¦¿à¦ªà¦¾à¦¡à¦¼à¦¾à¦¯à¦¼ à¦¨à¦¤à§à¦¨ à¦¸à¦°à¦•à¦¾à¦°
#sheikh #hasina #tungipara #bdnews24 https://t.co/NAk15skly4",O
"Bangladesh PM Sheikh Hasina arrives in New Delhi to attend swearing-in ceremony of Modi

https://t.co/IotpoWuPPS",O
"ðŸ‡®ðŸ‡³ðŸ¤ðŸ‡§ðŸ‡© 

Galvanizing The Developmental Trajectory!
 
The ongoing state visit of Bangladesh's Hon'ble Prime Minister Sheikh Hasina to our Country bolsters Hon'ble PM Shri Narendra Modi Jiâ€™s vision of #ActEastðŸ‡®ðŸ‡³

This bilateral partnership holds immense promise for the North https://t.co/abuEgbBktz",P
"Prime Minister Sheikh Hasina of the People's Republic of #Bangladesh has finished her three-day official visit to #China on Wednesday from July 8 to 10.

During PM Hasina's visit, China and Bangladesh elevated their relations to a comprehensive strategic cooperative partnership. https://t.co/5WG1pm3uPo",P
"Actor Apu Biswas to play the role of PM Sheikh Hasina (Hasu) in Salman Haidar's biopic production on Shiekh Rasel and has requested a remuneration fee of only Tk 100. 

#SheikhHasina 
#Bangladesh ðŸ‡§ðŸ‡© https://t.co/K0EB3iKJq5",O
"India has no desire to interfere in the internal affairs of #Bangladesh. It is obvious that it has no choice but to deal with any government that takes office in Dhaka, and it will. 
Yet the continuation of Sheikh Hasina provides an interlocutor in Dhaka who believes in a shared https://t.co/TR9gywMUvg",O
"Today, EU Ambassador @CWhiteleyEU paid a courtesy call  on Hon. Prime Minister, Sheikh Hasina, MP, which included an exchange on bilateral and global issues ðŸ‡ªðŸ‡ºðŸ‡§ðŸ‡©. https://t.co/mKIf1h0jxx",O
"@BhairavVaam All said &amp; done, women always run towards  Hindus to save their lives and dignity. Whether itâ€™s this little girl or sheikh hasinaâ€¦",N
"Bangladesh's economic crisis is reshaping regional geopolitics.

With Sheikh Hasina out and Prof. Yunus in, what's next for Bangladesh and South Asia?

Find out more in the latest episode of Statecraft on India Today Global. 

#Bangladesh #Statecraft

@Geeta_Mohan | @ITGGlobal https://t.co/AxUIYKMkwo",N
"Do mass deportation of Bangladeshis

Now, as sheikh hasina is gone , now 

 no need to appease Bangladesh,

Regarding sheikh hasina being in

India , I advise @PMOIndia to

Shift her to bhutan and keep under

Raw patronage to avoid any 

Extradition demand from Bangladesh.",N
"Bangladesh could ask for Sheikh Hasina's return from India as cases mount: Adviser

https://t.co/cfNPijjskO",O
"East Pakistan Governor Monayem Khan once said to Prof. Hai that why can't the teachers here compose Rabindra Sangeet? Hai replied- he can write but it's not Rabindra Sangeet, it will be Hai Sangeet! Then you understand, what kind of state we were under Pakistan!'

-Sheikh Hasina",O
ðŸ‡§ðŸ‡©Bangladesh PM Sheikh Hasina has called upon all concerned to find #ways to stop ðŸ‡·ðŸ‡ºRussia-ðŸ‡ºðŸ‡¦Ukraine #war while holding a #meeting with ðŸ‡ºðŸ‡¦Ukrainian President  @ZelenskyyUa  in ðŸ‡©ðŸ‡ªGermany. @ZelenskyyUa invited ðŸ‡§ðŸ‡©Bangladesh to participate in the Formula's implementation and the https://t.co/m8HEJhGset,O
#FPVideo: Bangladeshâ€™s main opposition Bangladesh Nationalist Party (BNP) has called for a 48-hour nationwide strike to protest against the Sheikh Hasina Government and January 7 general election. https://t.co/qniifMBrBP,N
